id,Celková výměra (v hektarech),Počet obyvatel,hustota
19,49621,1308632,2637
27,69004,60380,88
51,41564,63843,154
213,37819,110899,293
124,27437,25652,93
230,58032,146004,252
108,18436,21294,116
248,31856,22791,72
60,28796,29883,104
78,35091,124891,356
94,58423,82678,142
132,13122,32001,244
116,64297,49718,77
183,12110,26461,219
141,45676,44316,97
167,81038,111466,138
175,21252,17670,83
159,11310,32035,283
191,35553,39949,112
205,34868,31095,89
256,79564,69944,88
272,89633,55565,62
221,37729,70046,186
264,44873,22043,49
86,36879,40380,109
35,49600,25885,52
43,28885,12443,43
434,27856,13661,49
302,92375,161376,175
329,112901,41707,37
337,47185,18857,40
345,93367,47076,50
311,48467,19674,41
396,38512,18187,47
400,74184,53121,72
418,84134,33457,40
469,32394,21914,68
442,57411,45305,79
477,100248,80583,80
281,45233,19120,42
353,53831,24720,46
299,26240,14089,54
426,53542,17514,33
451,17922,11772,66
591,22902,12157,53
485,76318,40662,53
558,25875,11608,45
493,28874,14688,51
566,90615,50564,56
639,65928,22343,34
604,30879,11563,37
647,62750,56935,91
582,26141,191599,733
612,27123,22586,83
655,65661,48966,75
621,25919,23250,90
680,43070,17050,40
574,78066,24164,31
698,94776,36537,39
507,14375,17655,123
515,49682,49957,101
531,117144,87166,74
663,26454,13153,50
523,40530,23928,59
540,33929,27848,82
671,48923,75189,154
906,12358,22542,182
728,55373,77031,139
752,48604,81640,168
761,44960,43111,96
825,47057,59118,126
884,23597,37214,158
850,47266,43514,92
833,26160,27660,106
892,23111,74835,324
868,34099,15668,46
841,30022,32877,110
736,26619,32795,123
914,34533,106068,307
922,40473,119407,295
744,8886,20005,225
876,30734,27304,89
710,87198,76838,88
809,34936,24496,70
779,14231,56094,394
1139,27859,22105,79
817,57838,144878,250
701,20088,26297,131
1147,23009,25659,112
787,19061,20460,107
1155,24712,33347,135
795,7405,12182,165
1031,25934,16021,62
1104,27910,20232,72
1201,25782,26973,105
1007,19289,18444,96
965,67746,146262,216
1040,13860,19305,139
1015,59672,48057,81
1112,22352,24876,111
1066,35572,60674,171
1023,9721,13281,137
1058,9809,14240,145
973,21422,17409,81
1121,47941,33980,71
1210,59542,63555,107
1228,29344,27712,94
1279,7969,18088,227
990,24669,21024,85
1074,21366,17754,83
981,74612,83320,112
1236,15861,8649,55
1244,27521,23208,84
1163,33712,27136,80
1171,41727,26267,63
1082,40931,130048,318
1180,27266,19574,72
1091,25723,25527,99
1198,35161,31424,89
1287,19052,26384,138
1252,28191,32418,115
1261,28149,29495,105
1678,34789,19810,57
949,63195,52652,83
361,22804,17732,78
931,32904,21903,67
1503,92175,100623,109
1571,41402,23122,56
1589,21127,13453,64
1686,29287,19401,66
370,23461,9430,40
388,82743,45064,54
957,29015,19759,68
1511,29132,12948,44
1597,83747,74494,89
1694,47344,36235,77
1708,46449,42648,92
1295,35139,56965,162
1309,51102,51836,101
1317,23018,380681,1654
1384,43887,59668,136
1627,17101,16084,94
1473,28606,60809,213
1392,35510,36108,102
1325,17254,24378,141
1333,7706,23003,299
1481,47033,55461,118
1406,24412,20130,82
1651,34784,22369,64
1414,19519,14358,74
1341,17445,26090,150
1635,15771,23560,149
1368,34312,69537,203
1350,34236,31482,92
1490,34278,37890,111
1643,54011,52001,96
1660,124255,91735,74
1376,19423,33522,173
1970,33492,34141,102
2062,71900,38330,53
1554,17813,10667,60
1988,11864,15167,128
1881,24750,23734,96
2003,18835,18291,97
1899,81696,164535,201
1562,59895,97920,163
1996,40079,80617,201
1911,33613,24221,72
2020,85749,69242,81
1902,20750,22449,108
2011,26721,33178,124
1520,16394,15322,93
1538,13261,21504,162
1546,49901,68746,138
1422,17833,18716,105
1431,11170,34292,307
2038,23905,35183,147
1601,51788,90062,174
1619,47328,52244,110
1449,25877,23141,89
2046,22968,41631,181
1457,14609,17079,117
2054,66241,65707,99
1465,35039,99294,283
1830,16245,25620,158
1783,7293,33419,458
1716,62982,36567,58
1821,4441,25801,581
1848,9872,19509,198
1741,48023,112033,233
1759,31743,24909,78
1791,8820,87096,987
1929,16532,40603,246
1767,17610,22703,129
1805,10562,64316,609
1856,12130,40763,336
1937,10060,21315,212
1724,57445,40113,70
1864,27537,48907,178
1872,22398,16881,75
1945,56701,101006,178
1813,4508,37255,826
1961,33152,321273,969
1732,33234,15338,46
1775,23466,54542,232
1953,28291,13330,47
