"","V1","V2","V3"
"HLASY_01",0.350860799685651,-0.653515376814851,0.183361672676739
"HLASY_02",0.1549796820149,-0.240311178470043,0.134075336583801
"HLASY_03",2.06326726399107,-0.507043567062684,-0.428432205912017
"HLASY_04",5.35310957342469,-0.583556807236435,-0.680752748079747
"HLASY_05",1.56339095501267,0.168818321756122,-0.286886720710852
"HLASY_06",-0.995862356438112,-0.229987286416645,0.00709856892434347
"HLASY_07",0.338456929769105,-0.207894651749539,0.0937747535114747
"HLASY_08",-0.0233205372966469,-0.236931970090773,-0.29830488933231
"HLASY_09",0.718163098836429,-0.13136422176926,0.0524358475894409
"HLASY_10",0.089164829816368,-0.15241352700632,-0.0334287563960264
"HLASY_11",-0.743375750524933,-0.122274534212023,-0.10022127284067
"HLASY_12",1.53448205053028,0.0751173476952116,-0.384653261502463
"HLASY_13",-7.17524960178407,0.173598941019122,-0.733282950736101
"HLASY_14",-0.428609861229007,-0.205676625637926,0.0727613740917462
"HLASY_15",0.522217688637786,-0.0380694538522242,-0.0718243219372742
"HLASY_16",-0.00693854014922313,-0.294548135743345,0.0248446980600815
"HLASY_17",-4.95752797440077,-1.52294944730783,1.76013932285502
"HLASY_18",3.64171128557715,0.0771482740158999,-0.208018122715591
"HLASY_19",-0.0702090383523372,0.0825022734317436,-0.298378216661591
"HLASY_20",6.65431550332249,1.35763485671835,0.224338201379188
"HLASY_21",1.16155927043888,-0.219748731297469,0.145697251927227
"HLASY_22",1.18642949144712,0.139139592703415,-0.584101476700962
